id,section,class,met,claim,note
C-12.9,12.6,STRUCTURAL,True,Model-relative admissibility: the substrate cannot repair a wrong institutional model,"Declared limit, honoured: the register never claims witness correctness, only traceability to declared witnesses."
C-A.1,A,REPRODUCED,True,The reference implementation's self-check assertions all pass,
C-A.2,A,REPRODUCED,True,The reference implementation's reported values reproduce independently,
C-A.3,A,REPRODUCED,True,Local mapping-status entropy over the declared alpha vector,
C-B1.1,B.1,MEASURED,True,Assertion 1: Boolean algebra stress test over at least 2^16 randomized operations,
C-B1.2,B.1,MEASURED,True,Assertion 2: evidence-box corner and adversarial near-boundary sweep with lambda_min > 1e-6,
C-B1.3,B.1,MEASURED,True,"Assertion 3: cone Laplacian symmetry, PSD and basis-invariant trace energies",
C-B1.4,B.1,MEASURED,True,"Attestation verification: invalid, expired or modified attestation must fail closed",Software attestation model; no hardware root of trust.
C-B1.5,B.1,MEASURED,True,Consensus fault injector: partition and crash faults against safety and liveness invariants,
C-B1.6,B.1,MEASURED,True,Rollback conformance: a corrupted order nested in a bundle is rejected atomically,
C-B1.7,B.1,OUT_OF_SCOPE,,Retrospective playback over a powered clinical cohort with expert adjudication,"The reproducibility mechanism is established (receipt-driven replay reproduces every decision); the clinical half requires a real cohort, preregistration and expert adjudicators and cannot be established here."
C-B2.1,B.2 Table 3,MEASURED,True,Spectral Gap (lambda_1 - lambda_0) >= 0.15,
C-B2.2,B.2 Table 3,MEASURED,True,Fisher Matrix Condition Number <= 1e+04,
C-B2.3,B.2 Table 3,PARTIAL_PROXY,True,End-to-End Latency (Enclave) <= 150 ms,"CPU-only p95 of the deterministic verification plus admission-gate path. No TEE is present, so this is an indicative lower bound on the enclave-resident checks of Section 9.3, not the enclave measurement Table 3 specifies."
C-B2.4,B.2 Table 3,OUT_OF_SCOPE,,Attestation Bootstrapping Time <= 2.5 s,Requires a TEE and an attestation service (SGX/IAS handshake). Not available in this environment; cannot be proxied without misrepresenting it.
C-B2.5,B.2 Table 3,MEASURED_SYNTHETIC,True,Severe Contradiction Sensitivity 100%,
C-B2.6,B.2 Table 3,MEASURED_SYNTHETIC,True,False Conflict Adjudication Rate <= 4%,
C-B3.1,B.3,MEASURED,True,Boundary 1: ambiguous identity halts and denies write regardless of similarity score,
C-B3.2,B.3,MEASURED,True,"Boundary 2: unsigned, unpinned or stale terminology triggers an administrative freeze",
C-B3.3,B.3,MEASURED,True,Boundary 3: chart distortion K is advisory and never proof of logical inconsistency,
C-B3.4,B.3,STRUCTURAL,True,"The framework is a fail-closed co-processor, not an autonomous practitioner",
